procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 232916  79900 2092320    0    0     0   136 8569 11264 14 15 71  0  0  0
 1  0      0 215276  79904 2092328    0    0     0   184 9911 14101 19 15 66  1  0  0
 0  0      0 229152  79904 2092328    0    0     0    28 7875 11868  9  9 81  0  0  0
 0  0      0 221424  79904 2092332    0    0     0   132 8425 11146 14 12 73  1  0  0
 7  0      0 221736  79904 2092336    0    0     0    48 7101 10663 15 11 74  0  0  0
 0  0      0 241100  79916 2092352    0    0     0   324 7783 11432 13 12 73  1  0  0
 1  0      0 251972  79916 2092352    0    0     0   168 8968 12502 13 13 73  1  0  0
 1  0      0 235340  79924 2092364    0    0     0   128 6889 9904 11  8 80  1  0  0
 1  0      0 242672  79924 2092372    0    0     0   100 10273 14721 18 16 65  0  0  0
 0  0      0 234356  79928 2092376    0    0     0   100 7633 10687 14 11 75  0  0  0
 2  0      0 230700  79928 2092388    0    0     0   252 7550 10747 12 11 77  0  0  0
 2  0      0 219108  79928 2092392    0    0     0   184 6159 8727  9  8 83  1  0  0
 0  0      0 227552  79932 2092716    0    0   320    56 9233 14054 19 16 65  0  0  0
 0  0      0 228624  79936 2092720    0    0     0   156 8567 12110 13 11 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 227348  79936 2092720    0    0     0     4 5199 7745  6  6 88  0  0  0
 2  0      0 231044  79936 2092740    0    0     0   296 10561 15284 21 15 64  1  0  0
 0  0      0 247240  79940 2092752    0    0     0   184 9113 13181 14 12 74  0  0  0
 8  0      0 244044  79940 2092760    0    0     0   604 8734 12115 23 12 64  1  0  0
 1  0      0 234856  79944 2092760    0    0     0  1152 10136 14289 26 15 57  2  0  0
 0  0      0 241132  79944 2092764    0    0     0   164 10081 13348 18 16 65  1  0  0
 3  0      0 238136  79944 2092768    0    0     0    48 6741 9507 10 10 80  0  0  0
 0  0      0 228908  79944 2092772    0    0     0   220 6669 9654  9  7 83  1  0  0
 0  0      0 241900  79944 2092776    0    0     0    80 8385 11613 13 12 75  0  0  0
 1  0      0 220376  79948 2092784    0    0     0   284 8366 12006 13  8 66 14  0  0
 0  0      0 241784  79948 2092784    0    0     0    12 6489 8745 24  8 69  0  0  0
 0  0      0 230688  79952 2092788    0    0     0   236 8131 11982 13 11 76  1  0  0
 5  0      0 224984  79952 2092792    0    0     0   124 7516 10614 12 10 78  1  0  0
 0  0      0 235968  79956 2092800    0    0     0   148 6352 9269  8  6 85  0  0  0
 2  0      0 242456  79956 2092856    0    0    48    76 9785 14136 14 13 72  0  0  0
