procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 168804  71540 1871584    0    0   284    76 12403 19880 28 22 48  2  0  0
 5  0      0 158948  71660 1874800    0    0  1476   152 8877 12798 26 16 54  4  0  0
 0  0      0 175208  71668 1876812    0    0  1044    76 9243 13115 26 14 56  4  0  0
 6  0      0 175016  71692 1877632    0    0   564   100 11465 17690 25 23 48  4  0  0
 4  0      0 176432  71716 1878396    0    0   372   296 9692 14869 21 20 53  6  0  0
 0  0      0 176568  71724 1879656    0    0   360    80 9702 14759 19 19 57  5  0  0
 0  0      0 134008  71752 1880744    0    0   404   236 10549 15955 30 19 50  2  0  0
 1  0      0 194640  71760 1874060    0    0   424    68 8310 12094 18 21 61  1  0  0
 1  0      0 187584  71776 1875812    0    0     0   140 8751 12890 21 17 61  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  1      0 173724  71800 1877344    0    0     0   200 10494 15927 30 20 25 25  0  0
 6  0      0 143484  71800 1879320    0    0    92    72 8174 11606 24 13 62  1  0  0
 2  0      0 154536  71832 1880008    0    0     0   216 10871 17159 26 22 51  1  0  0
 2  0      0 157560  71848 1880452    0    0     4   144 10620 17595 29 21 49  1  0  0
 1  0      0 151392  71848 1880936    0    0     0    72 9573 14720 20 17 61  1  0  0
 7  0      0 157268  71864 1881432    0    0    84   164 9301 15671 27 15 56  1  0  0
 1  1      0 162880  71872 1882372    0    0   208    76 10739 17561 23 21 53  3  0  0
 9  0      0 201436  71888 1875328    0    0   484   152 9336 13930 21 20 55  4  0  0
 5  0      0 210176  71888 1875560    0    0   228    92 8733 11637 36 23 40  1  0  0
 2  0      0 162848  71904 1877492    0    0   328   232 8341 13514 22 17 60  1  0  0
 2  0      0 141984  71928 1880940    0    0  1236   216 9367 17863 26 18 53  3  0  0
 6  0      0 140024  71936 1885384    0    0  1820   136 8819 15606 30 15 51  5  0  0
 1  0      0 144292  71944 1888728    0    0  1516    68 10713 17072 26 18 55  2  0  0
 7  7      0 120736  71952 1893528    0    0  2272   132 9737 16929 28 17 48  7  0  0
 9  0      0 123236  71968 1897460    0    0  1444   104 9094 16746 27 17 52  4  0  0
 6  0      0 115220  71976 1903088    0    0  2908   280 9645 14396 26 17 52  6  0  0
 4  4      0 103744  71984 1907316    0    0  2048    88 8984 14420 27 14 54  5  0  0
 8  3      0 109084  71992 1911544    0    0  2468   132 10110 17323 29 20 46  5  0  0
 3  0      0 145804  71076 1875276    0    0  1612   100 8123 13734 23 16 53  7  0  0
 5  0      0 122940  71084 1883144    0    0  3932   124 8319 13034 28 13 58  2  0  0
 3  0      0 123056  71112 1885688    0    0  1328   216 10265 17740 28 19 42 11  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 115820  71120 1888660    0    0  1576   144 10424 19673 25 20 47  8  0  0
 2  1      0 105708  71128 1890968    0    0   972   100 10455 22018 25 18 54  2  0  0
 8  1      0 143668  70580 1866216    0    0  1628   152 10072 18661 25 18 49  7  0  0
 2  2      0 138512  70580 1868852    0    0  1168    60 9197 16623 27 18 51  4  0  0
15  0      0 102700  70604 1870792    0    0   988   200 9046 16783 26 16 51  7  0  0
 1  0      0 119080  69692 1850192    0    0  1704    24 8655 15083 23 16 54  7  0  0
 2  0      0 115524  69708 1852864    0    0  1080   176 9908 16930 30 17 48  5  0  0
 1  9      0 118844  69708 1855296    0    0  1296    84 9192 18211 23 17 54  5  0  0
 1  0      0 139224  69724 1857416    0    0  1096   256 9478 15172 23 18 53  5  0  0
 5  0      0 101424  69808 1868196    0    0 10768   204 10882 16484 29 19 45  7  0  0
 0  2      0 141372  69264 1851928    0    0     0   344 9116 12712 21 13 54 12  0  0
 1  0      0 150512  69344 1851972    0    0    12   396 12009 18708 14 14 43 30  0  0
 1  0      0 139192  69472 1852328    0    0   320   668 9564 14966 30 19 45  5  0  0
 1  0      0 143508  68832 1834000    0    0   764   716 8784 13151 25 19 50  6  0  0
 1  0      0 121488  68112 1823120    0    0   488    64 9173 13534 20 15 64  1  0  0
 0  0      0 149448  64328 1800128    0    0   100   108 8669 13126 31 22 47  1  0  0
 6  0      0 126836  64336 1800196    0    0    56   100 8492 11096 26 17 56  1  0  0
 2  0      0 185524  62852 1793840    0    0    12   276 7800 11067 25 14 60  1  0  0
 1  0      0 143436  62876 1793936    0    0    32   220 9214 15420 35 23 42  1  0  0
 2  0      0 144784  62892 1793944    0    0     0   192 7141 9922 22 12 65  2  0  0
 0  0      0 187840  62900 1793948    0    0     0    96 8578 12778 32 15 53  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 150128  62936 1794124    0    0   196    84 10342 16810 39 23 38  1  0  0
 2  0      0 154756  62956 1794064    0    0     0   212 6319 8600 19  7 73  2  0  0
 0  1      0 167612  62972 1793988    0    0     0   124 8658 13433 31 17 51  1  0  0
 2  0      0 154804  62972 1793992    0    0     0    80 9098 14325 20 15 64  1  0  0
 0  0      0 196016  62992 1793996    0    0     4   148 6064 9001  7  9 84  1  0  0
 0  0      0 173732  63008 1794008    0    0    16    72 8952 14304 23 18 59  1  0  0
 3  0      0 151604  63044 1794096    0    0    88   196 8259 13387 23 19 57  0  0  0
 0  0      0 168700  63044 1794100    0    0     0    68 6346 9497  9  8 82  1  0  0
 0  1      0 161936  63064 1794128    0    0    20   160 10045 16681 27 21 51  1  0  0
 2  0      0 149536  63168 1794184    0    0     0   544 9532 13992 23 17 55  5  0  0
 0  0      0 182920  63412 1794216    0    0    84   952 10943 15526 14 16 62  8  0  0
 0  0      0 189484  63580 1794236    0    0     0   832 10607 15390 27 21 49  2  0  0
11  0      0 151580  63800 1794328    0    0   236   168 8550 12618 27 19 53  1  0  0
 1  0      0 133908  63808 1794336    0    0     0   108 8265 12198 23 16 61  1  0  0
 2  1      0 149488  61508 1779048    0    0   160    84 8724 12538 33 22 44  1  0  0
 4  0      0 134576  61524 1779044    0    0     0   196 7347 10806 24 12 63  1  0  0
 1  0      0 174948  61564 1779068    0    0     0   232 8021 11607 26 13 59  1  0  0
 5  0      0 157120  61588 1779080    0    0     0   208 8862 13507 47 23 30  1  0  0
 2  0      0 156868  61620 1779264    0    0   168   224 7401 9816 26 12 61  1  0  0
 3  0      0 190420  61656 1779280    0    0     0   292 9772 14303 31 17 51  1  0  0
