procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 693656  86540 2348844    0    0     0   620 3230 4178  3  4 78 15  0  0
 2  0      0 693656  86540 2348844    0    0     0    28 2369 3206  2  2 97  0  0  0
 4  0      0 594620  86544 2348856    0    0     4  5464 4316 4617 18  9 62 10  0  0
 3  0      0 567908  86544 2348864    0    0     0   644 5436 6505 27  9 65  0  0  0
 2  1      0 566144  86544 2348876    0    0     4   872 3544 3861 21  3 64 11  0  0
 1  3      0 566144  86544 2348924    0    0    48  1596 4237 4461 16  6 45 34  0  0
 2  3      0 566144  86548 2348980    0    0    56  6216 3850 4284 17  4 36 43  0  0
 0  4      0 568300  86548 2348980    0    0     0  8736 3474 4246 10  3 61 25  0  0
 5  4      0 584872  86564 2349016    0    0     4   408 13328 19120  2  2 44 52  0  0
 3  4      0 586268  86564 2349016    0    0     0    12 2242 3156  1  2 24 73  0  0
 3  4      0 586980  86564 2349020    0    0     0   152 3300 4107  3 11 21 65  0  0
 0  5      0 586864  86564 2349020    0    0     0   236 2340 3285  2  2 27 70  0  0
 1  3      0 586864  86564 2349024    0    0     0  1748 3961 5386  2  3 21 73  0  0
 0  2      0 587080  86564 2349024    0    0     0   700 2420 3256  2  3 43 52  0  0
 0  2      0 587080  86564 2349024    0    0     0     0 3354 4830  3  2 47 47  0  0
 6  1      0 587080  86564 2349024    0    0     0  1528 6818 7911 13  8 51 28  0  0
 3  5      0 586828  86564 2349024    0    0     0   104 4207 4902  9  5 40 46  0  0
 0  1      0 567676  86564 2349004    0    0     0   280 8675 8354 18  5 50 27  0  0
 0  1      0 567452  86568 2349012    0    0     0 42168 3051 3980  2  6 78 14  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 567452  86568 2349012    0    0     0     0 2259 3141  2  2 72 24  0  0
 0  1      0 567848  86568 2349012    0    0     0     0 2934 3681  6  5 66 23  0  0
 2  5      0 556256  86572 2349012    0    0     0   128 3716 4953  4  4 11 81  0  0
 3  0      0 564824  86572 2349016    0    0     0  5148 6978 9703  7  6 65 22  0  0
 2  0      0 562684  86572 2349020    0    0     0  6308 5870 8235 12  8 80  0  0  0
 2  0      0 563920  86572 2349020    0    0     0  3328 2998 4179  3  3 94  0  0  0
 0  5      0 564156  86572 2349020    0    0     0   160 2632 3853  2  2 85 12  0  0
 0  0      0 563904  86572 2349024    0    0     0  2572 7279 10557  2  2 32 63  0  0
 2  0      0 563652  86572 2349028    0    0     0 11044 2656 3614  2  3 95  0  0  0
 3  0      0 563652  86572 2349028    0    0     0 10608 2581 3572  2  3 95  0  0  0
 0  3      0 563400  86572 2349024    0    0     0   500 2320 3170  2  3 83 13  0  0
 1  1      0 563400  86572 2349024    0    0     0  1044 7177 10097  1  2 39 57  0  0
 4  0      0 563400  86572 2349024    0    0     0   168 2516 3438  2  3 84 11  0  0
 2  1      0 563160  86576 2349028    0    0     0  8152 3920 4455  4 13 68 15  0  0
 3  0      0 562908  86576 2349036    0    0     0 12832 3294 4353  2  5 93  0  0  0
 2  0      0 562908  86576 2349040    0    0     0 19760 2517 3376  2  4 94  0  0  0
 4  0      0 562908  86576 2349044    0    0     0    48 2485 3317  2  3 95  0  0  0
 2  0      0 562908  86576 2349048    0    0     0  8752 2943 3972  3  4 93  0  0  0
 0  5      0 561900  86576 2349052    0    0     0   500 2586 3519  2  4 86  8  0  0
 0  1      0 561900  86576 2349044    0    0     0  2156 4018 5690  2  3 50 44  0  0
 0  3      0 561900  86576 2349044    0    0     0   128 2660 3734  2  2 53 43  0  0
